EDAD,SEXO,CIVIL,ESCUELA,EDES,INGRESO,HIJOS,NOHIJOS,FCRA,FAMADIC,ADICCION,SERVICIOS,APOYO,CONDINSTA,PAGO
23,1,1,1,1,1332,0,0,1,0,8,4,1,1,4
48,1,1,11,2,1275,0,0,1,1,7,4,2,1,3
35,1,1,4,1,1408,1,4,2,4,20,5,2,1,3
38,1,6,8,1,0,1,3,5,2,33,4,1,1,1
43,1,1,6,1,1451,1,0,3,4,12,8,1,2,1
26,1,5,6,1,0,1,2,1,2,32,7,1,2,3
62,1,4,0,1,1316,1,5,5,0,21,5,2,1,1
39,1,6,10,1,1790,1,5,1,3,28,4,3,1,3
28,1,1,12,1,521,1,1,4,3,50,4,1,1,2
35,1,6,6,1,1204,1,3,2,0,19,4,4,1,2
35,1,1,17,1,1721,1,5,2,2,27,4,1,2,2
22,1,7,10,2,1726,1,1,1,2,37,5,1,1,5
30,1,1,6,1,1768,1,2,2,0,19,4,1,1,2
23,1,1,6,1,1386,0,0,1,2,18,5,1,1,3
27,1,6,18,2,532,1,5,3,4,27,6,2,1,2
19,1,6,9,1,1351,1,4,8,0,22,8,1,2,2
30,1,6,8,1,1742,1,4,7,0,9,6,1,1,3
42,1,7,9,2,1526,1,3,2,0,30,7,0,1,5
19,1,3,10,1,1350,1,1,4,3,16,8,1,1,5
27,1,1,16,1,1290,0,0,5,1,1,9,1,2,5
24,1,3,4,2,530,1,1,1,1,16,8,0,2,5
34,1,3,10,1,1554,1,3,2,2,35,4,0,1,3
46,1,1,9,1,1342,0,0,3,1,18,7,3,1,5
52,1,6,16,1,0,1,3,2,4,40,5,4,1,2
33,1,1,6,1,0,0,0,1,3,22,8,4,2,3
31,1,3,6,2,1226,1,2,3,2,41,4,4,1,2
24,1,1,11,1,0,0,0,1,0,6,5,4,1,3
35,1,1,8,1,1634,0,0,2,3,33,4,4,1,3
37,1,1,5,2,1500,1,3,5,2,28,4,4,1,3
44,1,6,8,1,1667,1,3,3,4,4,4,4,1,3
24,1,6,10,1,742,1,1,1,1,18,4,1,1,2
32,0,4,0,1,858,1,3,4,0,6,7,0,2,2
27,0,3,0,1,1218,1,2,1,4,0,12,0,2,3
27,0,4,16,1,693,1,2,1,1,19,6,1,1,2
23,0,3,9,1,1745,1,1,2,3,18,4,0,1,2
33,0,1,12,1,616,1,2,2,0,21,4,1,1,2
18,0,1,9,2,1656,0,0,5,3,21,4,0,1,2
22,0,1,0,1,546,1,1,4,3,23,4,2,1,2
21,0,1,2,2,0,0,0,1,4,15,10,0,#N/D,2
18,0,1,12,1,1320,0,0,1,0,33,4,1,1,2
18,1,1,6,2,1230,0,0,2,1,24,9,0,2,4
15,1,1,2,2,1792,0,0,1,0,1,7,0,#N/D,3
55,1,1,9,1,1299,0,0,13,2,1,10,0,#N/D,4
18,1,3,6,2,0,1,1,1,4,54,8,2,2,3
21,1,1,10,2,1262,0,0,1,2,1,4,0,1,2
45,1,6,9,2,816,1,3,1,0,1,10,0,2,2
20,1,1,1,1,1792,0,0,1,0,1,5,1,1,4
21,1,1,8,2,1703,0,0,4,1,20,7,2,2,1
20,1,1,5,1,680,1,1,5,1,34,5,0,1,2
24,0,1,6,2,1396,1,2,2,2,20,4,1,1,1
59,1,1,1,1,0,0,0,2,2,17,7,1,1,3
70,1,5,1,1,1209,1,3,1,1,12,4,1,2,2
40,1,7,2,2,1674,1,3,5,4,1,6,1,1,3
17,1,1,2,2,1346,0,0,1,2,18,5,0,1,3
15,1,1,9,1,0,0,0,1,1,16,8,0,2,4
30,1,1,9,1,807,0,0,3,1,33,5,0,2,3
46,1,7,8,2,1746,1,3,1,1,13,9,0,2,3
25,1,1,4,1,0,0,0,1,0,21,7,1,1,2
15,1,1,6,1,0,0,0,3,4,1,8,1,1,3
21,1,1,4,1,597,0,0,1,2,66,5,0,#N/D,3
17,1,1,6,1,658,0,0,1,4,7,7,1,2,3
16,1,1,6,1,1664,0,0,3,3,33,7,2,2,3
39,1,1,9,2,1228,1,3,5,0,10,6,1,1,2
14,1,1,5,2,0,0,0,1,3,21,7,1,2,3
23,1,1,7,2,1606,0,0,2,4,46,7,1,2,2
21,1,1,9,2,1367,0,0,2,1,1,4,0,1,1
26,1,1,1,1,0,0,0,16,4,1,8,0,1,2
29,1,1,8,1,1633,0,0,1,1,53,8,1,2,4
40,1,1,14,2,1480,0,0,1,0,1,4,0,1,0
20,1,1,10,2,550,1,2,5,0,1,11,1,2,3
17,1,1,10,1,581,0,0,1,2,1,11,1,2,3
25,0,1,11,1,1226,0,0,5,0,12,6,0,1,2
20,0,3,0,1,0,1,2,3,0,17,5,0,1,3
19,0,3,9,2,985,1,1,4,4,1,5,0,1,2
33,0,6,6,1,953,1,2,5,0,1,5,0,1,2
15,0,1,8,1,530,0,0,1,3,1,4,0,1,2
25,0,1,9,1,0,1,2,6,0,1,6,0,1,3
25,0,3,8,2,1403,1,1,1,0,17,6,0,2,3
23,1,1,11,1,566,0,0,5,3,28,6,1,1,1
49,1,6,8,1,1297,1,2,1,4,1,9,0,2,4
35,1,6,1,1,1756,1,2,4,1,25,4,0,1,1
16,1,1,8,2,1539,0,0,2,1,1,9,0,#N/D,1
29,1,1,10,2,0,1,2,3,1,19,5,0,1,1
28,1,6,9,1,1642,1,0,4,0,1,11,0,2,3
23,1,4,8,1,1684,1,2,5,4,1,4,1,1,1
35,1,1,3,1,1262,1,1,3,2,30,5,0,1,1
22,1,1,6,1,1394,0,0,1,1,39,8,0,2,4
18,1,1,9,2,1452,0,0,1,0,1,8,1,2,3
45,1,7,6,1,1272,1,4,4,0,1,8,1,1,1
28,1,1,7,2,1772,1,1,5,3,1,6,3,1,3
28,1,4,6,1,1477,1,2,5,0,1,4,2,2,3
26,1,4,5,2,1782,0,0,5,1,1,4,3,1,3
